direction,tool,minMatch,DEL_in,INS_in,DEL_out,INS_out,DEL_pct,INS_pct,distortion_fold
CHM13v2.0->GRCh38,CrossMap,default,51252,48795,13476,33249,26.3,68.1,2.59
CHM13v2.0->GRCh38,liftOver,0.1,51252,48795,16179,33249,31.6,68.1,2.16
CHM13v2.0->GRCh38,liftOver,0.5,51252,48795,16446,33249,32.1,68.1,2.12
CHM13v2.0->GRCh38,liftOver,0.8,51252,48795,16613,33249,32.4,68.1,2.10
CHM13v2.0->GRCh38,liftOver,0.95,51252,48795,15984,33249,31.2,68.1,2.18
GRCh38->CHM13v2.0,CrossMap,default,39081,50914,13034,43688,33.4,85.8,2.57
