build,aligner,restriction,n_calls,TP,FP,FN,precision,recall,f1,benchmark_n
hg19,minimap2,full,22821,18668,1400,8974,0.9302,0.6753,0.7826,27642
hg19,minimap2,primary,22813,18668,1400,8974,0.9302,0.6753,0.7826,27642
hg19,winnowmap,full,21964,17662,1736,9980,0.9105,0.6390,0.7509,27642
hg19,winnowmap,primary,21950,17662,1736,9980,0.9105,0.6390,0.7509,27642
hg38,minimap2,full,22017,17943,1221,10202,0.9363,0.6375,0.7585,28145
hg38,minimap2,primary,21985,17943,1221,10202,0.9363,0.6375,0.7585,28145
hg38,winnowmap,full,22277,17065,1506,11080,0.9189,0.6063,0.7306,28145
hg38,winnowmap,primary,22205,17065,1506,11080,0.9189,0.6063,0.7306,28145
hs1,minimap2,full,23014,15938,1394,8149,0.9196,0.6617,0.7696,24087
hs1,minimap2,primary,23014,15938,1394,8149,0.9196,0.6617,0.7696,24087
hs1,winnowmap,full,24650,14934,1648,9153,0.9006,0.6200,0.7344,24087
hs1,winnowmap,primary,24650,14934,1648,9153,0.9006,0.6200,0.7344,24087
