direction,svtype,size_bin_bp,total,unmapped,fragmented,span_filtered,survived,survived_pct
CHM13v2.0->GRCh38,DEL,50-100,7378,2471,914,1797,2196,29.8
CHM13v2.0->GRCh38,DEL,100-500,11559,4210,2134,2696,2519,21.8
CHM13v2.0->GRCh38,DEL,500-1000,3231,1129,1011,540,551,17.1
CHM13v2.0->GRCh38,DEL,1000-5000,4204,1407,1854,508,435,10.3
CHM13v2.0->GRCh38,DEL,5000-50000,1080,423,495,105,57,5.3
CHM13v2.0->GRCh38,DEL,>50000,85,17,66,2,0,0.0
CHM13v2.0->GRCh38,INS,50-100,6777,2196,143,0,4438,65.5
CHM13v2.0->GRCh38,INS,100-500,11011,3806,528,0,6677,60.6
CHM13v2.0->GRCh38,INS,500-1000,3162,1242,418,0,1502,47.5
CHM13v2.0->GRCh38,INS,1000-5000,3949,1615,398,0,1936,49.0
CHM13v2.0->GRCh38,INS,5000-50000,1027,486,48,0,493,48.0
CHM13v2.0->GRCh38,INS,>50000,80,39,8,0,33,41.2
GRCh38->CHM13v2.0,DEL,50-100,5850,752,866,2074,2158,36.9
GRCh38->CHM13v2.0,DEL,100-500,7955,1005,1806,2731,2413,30.3
GRCh38->CHM13v2.0,DEL,500-1000,1656,251,652,362,391,23.6
GRCh38->CHM13v2.0,DEL,1000-5000,1682,201,719,416,346,20.6
GRCh38->CHM13v2.0,DEL,5000-50000,383,28,179,116,60,15.7
GRCh38->CHM13v2.0,DEL,>50000,36,1,29,6,0,0.0
GRCh38->CHM13v2.0,INS,50-100,6563,800,75,0,5688,86.7
GRCh38->CHM13v2.0,INS,100-500,13527,2305,479,0,10743,79.4
GRCh38->CHM13v2.0,INS,500-1000,3798,827,188,0,2783,73.3
GRCh38->CHM13v2.0,INS,1000-5000,4269,844,261,0,3164,74.1
GRCh38->CHM13v2.0,INS,5000-50000,708,47,33,0,628,88.7
GRCh38->CHM13v2.0,INS,>50000,77,5,4,0,68,88.3
